"Døde pr. dag (eksperimentel statistik) efter køn, alder og tid"

" "," ","2021M09D01","2021M09D02","2021M09D03","2021M09D04","2021M09D05","2021M09D06","2021M09D07","2021M09D08","2021M09D09","2021M09D10","2021M09D11","2021M09D12","2021M09D13","2021M09D14","2021M09D15","2021M09D16","2021M09D17","2021M09D18","2021M09D19","2021M09D20","2021M09D21","2021M09D22","2021M09D23","2021M09D24","2021M09D25","2021M09D26"
"I alt"
" ","80-84 år",24,26,25,23,28,23,32,20,39,24,31,29,31,28,28,19,18,28,23,20,26,23,20,25,22,21
" ","85-89 år",16,31,23,24,20,28,29,25,27,33,17,26,27,24,24,15,24,31,29,25,17,33,20,25,25,29
" ","90-94 år",16,17,23,18,17,14,23,15,17,17,22,21,16,20,21,22,18,13,17,18,14,17,22,12,12,16
" ","95-99 år",9,7,9,7,8,8,13,10,12,5,8,11,6,4,8,7,14,6,11,3,10,9,5,8,10,8
" ","100 år og derover",3,0,1,2,3,3,1,3,3,2,1,4,1,2,2,5,1,1,0,1,4,3,2,3,2,2

"Tallene i denne tabel er foreløbige tal og kan blive ændret løbende "
"ved hver ny opdatering af tabellen. Tabellen bliver opdateret hver "
"fredag. "

