Dato,"Antal test, PCR","Antal test, Antigen","Positiv procent, PCR","Positiv procent, Antigen"
2021-02-10,122960,6976,0.36353285621340276,0.18635321100917432
2021-02-11,152940,8913,0.2458480449849614,0.12341523617188377
2021-02-12,131566,9074,0.239423559278233,0.09918448313863788
2021-02-13,90105,4794,0.37178846900837914,0.2711722987067167
2021-02-14,84945,4749,0.40143622343869567,0.27374184038745
2021-02-15,130690,16921,0.3075981329864565,0.28367117782636964
2021-02-16,124599,16714,0.4197465469225275,0.3350484623668781
2021-02-17,124135,25820,0.41164860836991984,0.32532920216886135
2021-02-18,153807,29705,0.3549903450428134,0.17168826796835548
2021-02-19,128791,33850,0.3556149109798045,0.25110782865583453
2021-02-20,97624,21412,0.44456281242317464,0.2848869792639641
2021-02-21,96916,20029,0.4870196871517603,0.45434120525238403
2021-02-22,148821,25223,0.3964494258202807,0.30924156523807633
2021-02-23,139626,29093,0.43258418919112485,0.33685078884955144
2021-02-24,135900,29377,0.39808682855040467,0.3029580964700276
2021-02-25,168629,27973,0.3231947055370073,0.2752654345261502
2021-02-26,153366,35679,0.32601750061943324,0.21301045432887694
2021-02-27,120288,22243,0.3566440542697526,0.30571415726295914
2021-02-28,118142,24069,0.4037514177853769,0.3822344094062903
2021-03-01,168913,34806,0.3516603221776891,0.19536861460667704
2021-03-02,161158,37694,0.3729259484481068,0.2201941953626572
2021-03-03,156539,43413,0.35326659810015393,0.2395595789279709
2021-03-04,187078,55613,0.26085376153262274,0.31647276715875783
2021-03-05,155247,63909,0.3027433702422591,0.2581795991174952
2021-03-06,115482,38123,0.39140298921043976,0.33837840673609104
2021-03-07,121643,39955,0.3765115954062297,0.49305468652233764
2021-03-08,170436,63563,0.35262503227017766,0.3586992432704561
2021-03-09,155492,62208,0.40966737838602624,0.2845293209876543
2021-03-10,153602,57235,0.3593703206989492,0.40359919629597274
2021-03-11,186535,58454,0.3114696973758276,0.27029801211208815
2021-03-12,161223,59713,0.3008255645906601,0.25957496692512516
2021-03-13,131522,55475,0.3535530177460805,0.2649842271293375
2021-03-14,134738,72295,0.3621843874779201,0.24068054498928002
2021-03-15,188319,109705,0.3409109011836299,0.22788387037965455
2021-03-16,179905,115808,0.4129957477557599,0.22019204200055265
2021-03-17,167815,102584,0.4010368560617346,0.1783903922639008
2021-03-18,193845,123267,0.33738296061286077,0.1679281559541483
2021-03-19,164795,91076,0.39321581358657726,0.1548157582678203
2021-03-20,130659,56785,0.4469650004974781,0.2306947257198204
2021-03-21,135468,89154,0.4163344848968022,0.21984431433250332
2021-03-22,187780,132231,0.41857492810735963,0.16713176184102063
2021-03-23,180908,137254,0.44995246202489664,0.1369723286753027
2021-03-24,173665,119307,0.45144387182218637,0.15506215058630257
2021-03-25,191864,143828,0.33513321936371593,0.1557415802208193
2021-03-26,175051,130248,0.40616734551644945,0.12668140777593515
2021-03-27,120350,65013,0.5608641462401329,0.22764677833664038
2021-03-28,123458,63008,0.4965251340536863,0.24123920771965465
2021-03-29,187581,104136,0.41315485043794414,0.235269263271107
2021-03-30,194725,112698,0.34972396970086017,0.19964861843156045
2021-03-31,194864,91952,0.3556326463584859,0.14899077779711153
2021-04-01,139653,100367,0.5105511517833488,0.190301593153128
2021-04-02,113861,94360,0.4830451164138731,0.19817719372615517
2021-04-03,128678,81561,0.40954941792691835,0.21333725677713614
2021-04-04,166343,96557,0.2783405373234822,0.1708835195791087
2021-04-05,179380,190513,0.311071468391125,0.1390981192884475
2021-04-06,208207,207433,0.33860533027227707,0.12630584333254594
2021-04-07,176598,184747,0.407705636530425,0.13044866763736354
2021-04-08,192848,227326,0.37490666224176555,0.11041411893052268
2021-04-09,172672,184949,0.42045033358042994,0.1032717127424317
2021-04-10,151556,89934,0.364221805801156,0.15900549291702804
2021-04-11,153488,157782,0.3505160012509121,0.12358824200479142
2021-04-12,183348,267203,0.3752427078560988,0.0980527913234507
2021-04-13,28348,199416,0.31748271482997037,0.08575039114213504
