Date,Deaths
1918-07-01,0
1918-07-02,0
1918-07-03,0
1918-07-04,0
1918-07-05,0
1918-07-06,0
1918-07-07,0
1918-07-08,0
1918-07-09,0
1918-07-10,1
1918-07-11,0
1918-07-12,0
1918-07-13,0
1918-07-14,1
1918-07-15,1
1918-07-16,0
1918-07-17,1
1918-07-18,2
1918-07-19,0
1918-07-20,3
1918-07-21,0
1918-07-22,2
1918-07-23,2
1918-07-24,2
1918-07-25,5
1918-07-26,2
1918-07-27,4
1918-07-28,2
1918-07-29,2
1918-07-30,1
1918-07-31,5
1918-08-01,6
1918-08-02,3
1918-08-03,6
1918-08-04,1
1918-08-05,3
1918-08-06,4
1918-08-07,3
1918-08-08,6
1918-08-09,2
1918-08-10,2
1918-08-11,1
1918-08-12,1
1918-08-13,1
1918-08-14,2
1918-08-15,2
1918-08-16,4
1918-08-17,0
1918-08-18,0
1918-08-19,0
1918-08-20,0
1918-08-21,0
1918-08-22,1
1918-08-23,0
1918-08-24,0
1918-08-25,0
1918-08-26,0
1918-08-27,1
1918-08-28,0
1918-08-29,0
1918-08-30,0
1918-08-31,0
1918-09-01,0
1918-09-02,0
1918-09-03,0
1918-09-04,0
1918-09-05,0
1918-09-06,0
1918-09-07,0
1918-09-08,0
1918-09-09,0
1918-09-10,0
1918-09-11,0
1918-09-12,0
1918-09-13,0
1918-09-14,0
1918-09-15,0
1918-09-16,1
1918-09-17,1
1918-09-18,0
1918-09-19,1
1918-09-20,1
1918-09-21,1
1918-09-22,1
1918-09-23,0
1918-09-24,1
1918-09-25,5
1918-09-26,1
1918-09-27,2
1918-09-28,0
1918-09-29,2
1918-09-30,1
1918-10-01,1
1918-10-02,7
1918-10-03,1
1918-10-04,3
1918-10-05,4
1918-10-06,7
1918-10-07,4
1918-10-08,6
1918-10-09,5
1918-10-10,11
1918-10-11,15
1918-10-12,9
1918-10-13,14
1918-10-14,13
1918-10-15,16
1918-10-16,17
1918-10-17,21
1918-10-18,26
1918-10-19,24
1918-10-20,44
1918-10-21,49
1918-10-22,37
1918-10-23,41
1918-10-24,49
1918-10-25,52
1918-10-26,49
1918-10-27,43
1918-10-28,44
1918-10-29,46
1918-10-30,51
1918-10-31,47
1918-11-01,48
1918-11-02,53
1918-11-03,26
1918-11-04,35
1918-11-05,33
1918-11-06,32
1918-11-07,24
1918-11-08,25
1918-11-09,17
1918-11-10,22
1918-11-11,13
1918-11-12,21
1918-11-13,11
1918-11-14,12
1918-11-15,15
1918-11-16,13
1918-11-17,8
1918-11-18,14
1918-11-19,13
1918-11-20,10
1918-11-21,4
1918-11-22,12
1918-11-23,8
1918-11-24,15
1918-11-25,3
1918-11-26,5
1918-11-27,2
1918-11-28,8
1918-11-29,9
1918-11-30,8
1918-12-01,6
1918-12-02,9
1918-12-03,3
1918-12-04,7
1918-12-05,6
1918-12-06,8
1918-12-07,5
1918-12-08,6
1918-12-09,3
1918-12-10,14
1918-12-11,5
1918-12-12,9
1918-12-13,7
1918-12-14,17
1918-12-15,8
1918-12-16,6
1918-12-17,12
1918-12-18,10
1918-12-19,10
1918-12-20,9
1918-12-21,4
1918-12-22,4
1918-12-23,0
1918-12-24,7
1918-12-25,11
1918-12-26,6
1918-12-27,11
1918-12-28,5
1918-12-29,10
1918-12-30,7
1918-12-31,14
1919-01-01,10
1919-01-02,11
1919-01-03,10
1919-01-04,11
1919-01-05,12
1919-01-06,14
1919-01-07,14
1919-01-08,13
1919-01-09,8
1919-01-10,16
1919-01-11,10
1919-01-12,17
1919-01-13,21
1919-01-14,12
1919-01-15,14
1919-01-16,10
1919-01-17,10
1919-01-18,14
1919-01-19,20
1919-01-20,9
1919-01-21,14
1919-01-22,13
1919-01-23,7
1919-01-24,12
1919-01-25,6
1919-01-26,3
1919-01-27,3
1919-01-28,6
1919-01-29,5
1919-01-30,0
1919-01-31,2
1919-02-01,6
1919-02-02,9
1919-02-03,6
1919-02-04,6
1919-02-05,5
1919-02-06,6
1919-02-07,4
1919-02-08,3
1919-02-09,5
1919-02-10,7
1919-02-11,3
1919-02-12,2
1919-02-13,3
1919-02-14,2
1919-02-15,6
1919-02-16,1
1919-02-17,5
1919-02-18,7
1919-02-19,6
1919-02-20,6
1919-02-21,6
1919-02-22,10
1919-02-23,2
1919-02-24,4
1919-02-25,7
1919-02-26,6
1919-02-27,7
1919-02-28,5
1919-03-01,5
1919-03-02,5
1919-03-03,6
1919-03-04,4
1919-03-05,7
1919-03-06,8
1919-03-07,8
1919-03-08,6
1919-03-09,6
1919-03-10,7
1919-03-11,5
1919-03-12,6
1919-03-13,6
1919-03-14,3
1919-03-15,11
1919-03-16,3
1919-03-17,5
1919-03-18,4
1919-03-19,6
1919-03-20,8
1919-03-21,4
1919-03-22,4
1919-03-23,5
1919-03-24,2
1919-03-25,4
1919-03-26,5
1919-03-27,4
1919-03-28,6
1919-03-29,3
1919-03-30,4
1919-03-31,3
1919-04-01,4
1919-04-02,4
1919-04-03,5
1919-04-04,2
1919-04-05,5
1919-04-06,7
1919-04-07,1
1919-04-08,1
1919-04-09,2
1919-04-10,1
1919-04-11,3
1919-04-12,4
1919-04-13,1
1919-04-14,2
1919-04-15,5
1919-04-16,0
1919-04-17,4
1919-04-18,2
1919-04-19,2
1919-04-20,3
1919-04-21,3
1919-04-22,0
1919-04-23,1
1919-04-24,0
1919-04-25,2
1919-04-26,3
1919-04-27,3
1919-04-28,0
1919-04-29,2
1919-04-30,3
1919-05-01,3
1919-05-02,1
1919-05-03,2
1919-05-04,1
1919-05-05,0
1919-05-06,3
1919-05-07,1
1919-05-08,2
1919-05-09,3
1919-05-10,0
1919-05-11,0
1919-05-12,0
1919-05-13,2
1919-05-14,1
1919-05-15,0
1919-05-16,0
1919-05-17,1
1919-05-18,1
1919-05-19,2
1919-05-20,0
1919-05-21,1
1919-05-22,1
1919-05-23,0
1919-05-24,1
1919-05-25,1
1919-05-26,1
1919-05-27,0
1919-05-28,1
1919-05-29,2
1919-05-30,1
1919-05-31,0
1919-06-01,0
1919-06-02,0
1919-06-03,0
1919-06-04,1
1919-06-05,0
1919-06-06,0
1919-06-07,2
1919-06-08,1
1919-06-09,0
1919-06-10,0
1919-06-11,1
1919-06-12,0
1919-06-13,0
1919-06-14,0
1919-06-15,0
1919-06-16,0
1919-06-17,0
1919-06-18,0
1919-06-19,0
1919-06-20,0
1919-06-21,0
1919-06-22,0
1919-06-23,0
1919-06-24,0
1919-06-25,0
1919-06-26,0
1919-06-27,0
1919-06-28,0
1919-06-29,0
1919-06-30,0
