"Målgruppe (underinddelt)";"Region";"Regionskode";"Antal borgere";"Antal første vacc.";"Antal faerdigvacc."
01.;Hovedstaden;1084;12637;12263;12122
01.;Midtjylland;1082;9646;9379;9310
01.;Nordjylland;1081;5330;5165;5120
01.;Sjælland;1085;5754;5523;5477
01.;Syddanmark;1083;9314;8999;8927
02.;Hovedstaden;1084;14751;13636;13485
02.;Midtjylland;1082;9307;8832;8764
02.;Nordjylland;1081;5220;4942;4899
02.;Sjælland;1085;8933;8413;8341
02.;Syddanmark;1083;12594;11866;11779
03.;Hovedstaden;1084;24785;23839;23751
03.;Midtjylland;1082;21242;20595;20534
03.;Nordjylland;1081;10639;10255;10230
03.;Sjælland;1085;14104;13548;13516
03.;Syddanmark;1083;22011;21220;21180
04.;Hovedstaden;1084;92184;91262;90631
04.;Midtjylland;1082;71907;71188;71039
04.;Nordjylland;1081;32961;32631;32608
04.;Sjælland;1085;44258;43815;43570
04.;Syddanmark;1083;59620;59024;58698
05.;Hovedstaden;1084;68741;65390;65042
05.;Midtjylland;1082;60246;57971;57744
05.;Nordjylland;1081;17446;16793;16711
05.;Sjælland;1085;37768;36238;36113
05.;Syddanmark;1083;52728;50344;50122
06.;Hovedstaden;1084;643;617;611
06.;Midtjylland;1082;575;553;547
06.;Nordjylland;1081;285;280;278
06.;Sjælland;1085;444;432;431
06.;Syddanmark;1083;152;146;145
07.;Hovedstaden;1084;33515;32416;32332
07.;Midtjylland;1082;27215;26604;26561
07.;Nordjylland;1081;15031;14627;14609
07.;Sjælland;1085;20469;19815;19789
07.;Syddanmark;1083;29740;28918;28882
08.;Hovedstaden;1084;61749;59721;59593
08.;Midtjylland;1082;47932;46848;46806
08.;Nordjylland;1081;26406;25709;25673
08.;Sjælland;1085;38146;36988;36935
08.;Syddanmark;1083;51613;50227;50185
09.;Hovedstaden;1084;141474;134967;134540
09.;Midtjylland;1082;120698;116783;116609
09.;Nordjylland;1081;62841;60752;60640
09.;Sjælland;1085;87665;84241;84069
09.;Syddanmark;1083;124091;119635;119439
10A.;Hovedstaden;1084;79489;73783;73374
10A.;Midtjylland;1082;63025;59749;59548
10A.;Nordjylland;1081;30907;29180;29080
10A.;Sjælland;1085;45815;42765;42586
10A.;Syddanmark;1083;63514;59813;59579
10B.;Hovedstaden;1084;102927;94040;93328
10B.;Midtjylland;1082;76011;71054;70730
10B.;Nordjylland;1081;35721;33250;33082
10B.;Sjælland;1085;56288;51855;51600
10B.;Syddanmark;1083;76764;71194;70837
10C.;Hovedstaden;1084;105535;94739;93813
10C.;Midtjylland;1082;74898;69174;68734
10C.;Nordjylland;1081;32928;30240;30026
10C.;Sjælland;1085;53522;48399;48075
10C.;Syddanmark;1083;72605;66221;65784
10D1a.;Hovedstaden;1084;79467;65345;63317
10D1a.;Midtjylland;1082;64728;56444;55234
10D1a.;Nordjylland;1081;27341;23891;23369
10D1a.;Sjælland;1085;40897;34832;34149
10D1a.;Syddanmark;1083;58871;51044;50036
10D1b.;Hovedstaden;1084;111506;97802;96536
10D1b.;Midtjylland;1082;74986;67595;66975
10D1b.;Nordjylland;1081;31719;28465;28213
10D1b.;Sjælland;1085;51107;44794;44361
10D1b.;Syddanmark;1083;69753;62083;61506
10D2a.;Hovedstaden;1084;121473;93868;90197
10D2a.;Midtjylland;1082;87898;71180;68968
10D2a.;Nordjylland;1081;36645;29919;28851
10D2a.;Sjælland;1085;37841;28191;27294
10D2a.;Syddanmark;1083;66611;51715;50098
10D2b.;Hovedstaden;1084;105207;88042;86391
10D2b.;Midtjylland;1082;67601;58656;57770
10D2b.;Nordjylland;1081;28558;24758;24414
10D2b.;Sjælland;1085;41990;34727;34235
10D2b.;Syddanmark;1083;61279;51897;51023
10D3a.;Hovedstaden;1084;144062;107773;103539
10D3a.;Midtjylland;1082;85692;65085;62575
10D3a.;Nordjylland;1081;36042;26956;25765
10D3a.;Sjælland;1085;38298;25426;24435
10D3a.;Syddanmark;1083;67139;47713;45739
10D3b.;Hovedstaden;1084;108948;85857;83139
10D3b.;Midtjylland;1082;65658;53210;51798
10D3b.;Nordjylland;1081;27553;22293;21711
10D3b.;Sjælland;1085;39168;29761;29051
10D3b.;Syddanmark;1083;57959;45503;44215
10D4.;Hovedstaden;1084;132465;99120;94951
10D4.;Midtjylland;1082;76181;57940;55787
10D4.;Nordjylland;1081;31602;23510;22509
10D4.;Sjælland;1085;40419;27654;26512
10D4.;Syddanmark;1083;63670;46047;44252
11.;Hovedstaden;1084;82820;49578;46101
11.;Midtjylland;1082;63705;42673;40117
11.;Nordjylland;1081;26789;17838;16821
11.;Sjælland;1085;40541;25762;24398
11.;Syddanmark;1083;58393;38311;36270
